article_stock_id,article_id,stock_code,published_at,title,description,body_head,url,suggested_event_id,gold_event_id,label_status,label_note,reference_set_type,evaluation_eligible,qa_reason,qa_warning,event_size,event_start_at,event_end_at,split_unit_id,split_unit_size,split_unit_eligible_size,split_unit_event_count,split_unit_article_count,split_unit_start_at,split_unit_end_at
803:005930,803,005930,2026-07-17T22:10:00+00:00,이달 약세장에도 선방한 중소형주…수익률 대형주 앞질러 | 연합뉴스,"구체적으로 대형주의 경우 시총 상위권에서 삼성전자(-23.7%), SK하이닉스 (-30.5%) 등 반도체주가 이달 들어 급락하며 대형주 전체 수익률을 끌어 내렸다. 지난달 말 33만4천원이던 삼성전자 주가는 이달 16일 25만5천원으로...",이민영 기자 구독 구독중 이전 다음 코스피 대형주 20%대 급락…소형주 1%대·중형주 6% 하락 그쳐 '애국 테마주' 세 자릿수대 급등…음식료·화장품주도 '쑥' 이미지 확대 증시 대형주 보다 중소형주 강세 (PG) [김민아 제작] 일러스트 (서울=연합뉴스) 이민영 기자 = 이달 증시 변동성이 컸던 가운데 중소형주 수익률이 대형주를 앞지른 것으로 나타났다.,https://yna.co.kr/view/AKR20260717001000008?input=1195m,005930_evt_184,005930_gold_028,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,2,2026-07-17T22:10:00+00:00,2026-07-18T02:10:00+00:00,SU_75c5b96287,4,4,2,2,2026-07-17T22:10:00+00:00,2026-07-18T02:10:00+00:00
718:005930,718,005930,2026-07-18T02:10:00+00:00,7월 약세장에도 선방한 중소형주... 수익률 대형주 앞질러,"대형주의 경우 시총 상위권에서 삼성전자(-23.7%), SK하이닉스 (-30.5%) 등 반도체주가 7월 들어 추락하며, 대형주 전체 수익률을 끌어 내렸다. 올 6월 말 33만4000원이던 삼성전자 주가는 지난 16일 25만5000원으로 7만9000원...",기자명 이승원 기자 입력 2026.07.18 11:09 SNS 기사보내기 Email Share Scrap Print 본문 글씨 줄이기 본문 글씨 키우기 이 기사를 공유합니다 코스피 대형주 20%대 추락... 소형주 1%대·중형주 6% 하락 그쳐 사진제공=연합뉴스 올 7월 증시 변동성이 높았던 상황에서 중소형주 수익률이 대형주를 앞지른 것으로 파악됐다. 18,https://getnews.co.kr/news/articleView.html?idxno=875426,005930_evt_184,005930_gold_028,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,2,2026-07-17T22:10:00+00:00,2026-07-18T02:10:00+00:00,SU_75c5b96287,4,4,2,2,2026-07-17T22:10:00+00:00,2026-07-18T02:10:00+00:00
594:005930,594,005930,2026-07-18T22:27:00+00:00,"7월에만 국내 주식 12조원 던진 외국인, ‘이것’ 6000억 샀다","‘KODEX SK하이닉스 [000660]단일종목레버리지’(-790억원), ‘TIGER 미국S＆P500’(-485억원), ‘TIGER SK하이닉스 단일종목레버리지’(-464억원), ‘KODEX 삼성전자단일종목레버리지’(-365억원)는 외국인 ETF 순매도액...","경제 금융 7월에만 국내 주식 12조원 던진 외국인, ‘이것’ 6000억 샀다 이보희 기자 입력 2026-07-19 07:25 수정 기사 읽어주기 다시듣기 글씨 크기 조절 글자크기 설정 닫기 글자크기 설정 시 다른 기사의 본문도 동일하게 적용 됩니다. 프린트 공유하기 공유 페이스북 네이버블로그 엑스 카카오톡 밴드 https://www.seoul.co.kr/",https://seoul.co.kr/news/economy/finance/2026/07/19/20260719500005?wlog_tag3=naver,005930_evt_383,005930_gold_033,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00,SU_00148cb040,14,14,2,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00
542:005930,542,005930,2026-07-19T00:44:00+00:00,"이달에만 국내 주식 12조원 던진 외국인, &#039;이것&#039; 6000억 담았다",외국인은 삼성전자 단일종목 레버리지 7종을 합쳐 227억원어치 순매수한 반면 SK하이닉스 단일종목 레버리지 7종은 1221억원어치 순매도했다. ETF 순매도 상위 종목에는 'KODEX SK하이닉스 단일종목레버리지...,[이코노미스트 박재우 기자] 외국인 투자자가 이달 들어 국내 주식을 12조원 넘게 순매도했지만 상장지수펀드(ETF)는 6000억원 가까이 순매수한 것으로 나타났다. 현물 주식은 대거 처분하면서도 ETF를 활용해 시장 위험을 관리하는 전략을 펼친 것으로 분석된다. 19일 한국거래소와 코스콤 CHECK에 따르면 지난 1~16일 외국인은 유가증권시장에서 12조1,https://economist.co.kr/article/view/ecn202607190003,005930_evt_383,005930_gold_033,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00,SU_00148cb040,14,14,2,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00
570:005930,570,005930,2026-07-18T23:58:00+00:00,"외국인, 국내 주식 12조원 매도…ETF는 6000억 순매수 왜?","외국인은 이달 1~16일 삼성전자 단일종목 레버리지 7종을 227억원 순매수한 반면, SK하이닉스 단일종목 레버리지 7종은 1221억원 순매도했다. 외국인 순매도 상위 ETF에는 △KODEX SK하이닉스 단일종목레버리지...",▲(사진=AI 생성) (chatgpt) 이달 들어 외국인 투자자가 국내 주식을 12조원 넘게 팔아치우는 동안 상장지수펀드(ETF)는 6000억원 가까이 사들인 것으로 나타났다. 지수 상승과 하락에 베팅하는 ETF를 동시에 담으며 변동성 장세에서 리스크를 줄이려는 전략으로 풀이된다. 19일 한국거래소에 따르면 이달 1일부터 16일까지 외국인은 유가증권시장에서,https://etoday.co.kr/news/view/2604833,005930_evt_406,005930_gold_033,assistant_confirmed,병합: 동일한 구체적 사건으로 판단,AI-reviewed reference set,true,,,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00,SU_00148cb040,14,14,2,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00
538:005930,538,005930,2026-07-19T00:50:00+00:00,"외국인, 국내 주식 12조 팔고 ETF는 6000억 순매수","반면 KODEX SK하이닉스 단일종목레버리지(-790억원), TIGER 미국S&P500(-485억원), TIGER SK하이닉스 단일종목레버리지(-464억원), KODEX 삼성전자단일종목레버리지(-365억원) 등은 순매도 상위 종목에 이름을 올렸다. 단일...","외국인, 국내 주식 12조 팔고 ETF는 6000억 순매수 금융·증권 입력 2026-07-19 09:49:06 수정 2026-07-19 09:49:06 이지영 기자 0개 [서울경제TV=이지영기자] 이달 들어 외국인 투자자들이 국내 주식을 12조원 넘게 순매도한 반면 상장지수펀드(ETF)는 6000억원 가까이 순매수한 것으로 나타났다. 현물 주식 비중은 줄이",https://sentv.co.kr/article/view/sentv202607190002,005930_evt_406,005930_gold_033,assistant_confirmed,병합: 동일한 구체적 사건으로 판단,AI-reviewed reference set,true,,,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00,SU_00148cb040,14,14,2,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00
554:005930,554,005930,2026-07-19T00:19:00+00:00,"외국인, 국내 주식 12조 던지고 ETF 6000억 샀다",된 단일종목 레버리지 상품에서는 종목별 희비가 엇갈렸다. 외국인은 삼성전자 단일종목 레버리지 7종을 227억원 순매수했다. 반면 SK하이닉스 단일종목 레버리지 7종은 1221억원을 순매도해 온도차를 보였다．,"등록 2026.07.19 09:19:40 수정 2026.07.19 09:38:25 이재명 대통령, ""문화 힘으로 인류 유산 지키고 세계평화에 기여"" 국내 최대 파충류·양서류 박람회, '2026 코리아 렙타일쇼' ""불길 안 잡히는 쿠팡 물류센터 붕괴 위험에 주민 긴급 대피령 인천의 한 물류센터에서 발생한 불이 확산돼 이틀째 진화 작업이 이어지는 가운데, 지방",https://newsis.com/view/NISX20260719_0003713879,005930_evt_420,005930_gold_033,assistant_confirmed,병합: 동일한 구체적 사건으로 판단,AI-reviewed reference set,true,,,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00,SU_00148cb040,14,14,2,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00
452:005930,452,005930,2026-07-19T02:10:00+00:00,"외국인, 이달 국내 주식 12조 팔고 ETF 6000억 사들여","반대로 ‘KODEX SK하이닉스 단일종목 레버리지’(-790억원), ‘TIGER 미국 S&P500’(-485억원), ‘TIGER SK하이닉스 단일종목 레버리지’(-464억원), ‘KODEX 삼성전자 단일종목 레버리지’(-365억원) 등은 순매도 상위...",이 같은 외국인 매도세가 증시 하방 압력으로 작용했다. 코스피 지수는 지난달 30일 종가 8476.48에서 이달 16일 6820.60까지 하락했다. 외국인이 5거래일 연속 순매도에 나섰던 1일부터 7일까지 기간 중 상승한 날은 3일(5.76%) 하루에 그쳤다. 반면 ETF 시장에서는 상반된 흐름이 관찰됐다. 같은 기간 외국인은 국내 ETF를 5937억원어치,https://edaily.co.kr/news/newspath.asp?newsid=01413686645516160,005930_evt_420,005930_gold_033,assistant_confirmed,병합: 동일한 구체적 사건으로 판단,AI-reviewed reference set,true,,,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00,SU_00148cb040,14,14,2,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00
43:005930,43,005930,2026-07-19T12:58:00+00:00,외국인 이달 포트폴리오 보니⋯국내 주식 12조 팔고 ETF 6천억 담고,"외국인은 지난 1~16일 삼성전자 단일종목 레버리지 7종을 227억원 순매수했으나 SK하이닉스 단일종목 레버리지 7종은 1221억원 순매도했다. 금융투자업계 한 관계자는 ""외국인이 특정 방향성에 베팅했다고...","[아이뉴스24 김효진 기자] 외국인 투자자들이 이달 들어 국내 주식을 총 12조원 이상 순매도했지만, 상장지수펀드(ETF)는 6000억원 가까이 사들인 것으로 나타났다. [사진=연합뉴스 ] 19일 한국거래소와 코스콤 CHECK에 따르면 지난 1~16일 외국인은 유가증권시장에서 12조1022억원, 코스닥에서 3381억원을 각각 순매도했다. 반면 ETF에서는",http://inews24.com/view/1986627,005930_evt_420,005930_gold_033,assistant_confirmed,병합: 동일한 구체적 사건으로 판단,AI-reviewed reference set,true,,,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00,SU_00148cb040,14,14,2,7,2026-07-18T22:27:00+00:00,2026-07-19T12:58:00+00:00
543:005930,543,005930,2026-07-19T00:43:00+00:00,"삼성전자, 사우디 모스크 1000곳에 냉난방공조 공급",삼성전자 가 사우디아라비아의 수도 리야드와 라마 등 8개 주요 도시의 이슬람 사원 '모스크' 100여곳에 고효율 냉난방공조(HVAC) 솔루션 1000여대를 공급한다고 19일 밝혔다. 삼성전자 는 종교 시설의 공간 특성을 고려해...,"인천 쿠팡물류센터 붕괴 위험에 ‘주민 대피령’… 밤샘 사투 계속 美방공망 뚫렸나…“이란 ‘날개 단 첨단 미사일’ 쏜듯” “李대통령 직속 방미통위, 14세 미만 SNS 금지 검토” 日언론도 주목 미군, 이란 원전 건설현장에 미사일…혁수대는 호르무즈 상선 또 쐈다 한동훈 “민주당, 경찰 ‘영장없는 무제한 체포’ 폭탄도 숨겨” 보완수사 여론전 계속 [정래연의 요",https://dt.co.kr/article/12073391?ref=naver,005930_evt_431,005930_gold_035,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,65,2026-07-19T00:43:00+00:00,2026-07-20T02:12:00+00:00,SU_7bef2e5eed,65,65,1,65,2026-07-19T00:43:00+00:00,2026-07-20T02:12:00+00:00
409:005930,409,005930,2026-07-19T02:58:00+00:00,"삼성전자, 사우디 모스크 100곳에 에어컨 등 냉난방공조 공급",삼성전자 가 사우디아라비아 주요 도시의 이슬람 사원인 모스크 100여곳에 고효율 냉난방공조(HVAC) 솔루션 약 1000대를 공급하며 중동 기업간거래(B2B) 시장 공략을 강화한다. 삼성전자 는 사우디 수도 리야드와 라마 등 8개...,[파이낸셜뉴스] 삼성전자가 사우디아라비아 주요 도시의 이슬람 사원인 모스크 100여곳에 고효율 냉난방공조(HVAC) 솔루션 약 1000대를 공급하며 중동 기업간거래(B2B) 시장 공략을 강화한다. 삼성전자는 사우디 수도 리야드와 라마 등 8개 주요 도시의 모스크에 천장형 시스템에어컨 '360 카세트'를 공급한다고 19일 밝혔다. 360 카세트는 기존 사각형,http://fnnews.com/news/202607191053155792,005930_evt_431,005930_gold_035,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,65,2026-07-19T00:43:00+00:00,2026-07-20T02:12:00+00:00,SU_7bef2e5eed,65,65,1,65,2026-07-19T00:43:00+00:00,2026-07-20T02:12:00+00:00
365:005930,365,005930,2026-07-19T03:33:00+00:00,"삼성전자, 사우디 모스크 100곳에 에어컨 1000대 공급 | 중앙일보",삼성전자 가 사우디아라비아 주요 도시의 모스크(이슬람교 예배·집회 장소) 100여 곳에 천장형 시스템에어컨 1000여 대를 공급한다. 고온 기후와 높은 천장 등 현지 종교시설 특성에 맞춘 냉방 솔루션을 앞세워 중동...,"경제 경제일반 삼성전자, 사우디 모스크 100곳에 에어컨 1000대 공급 중앙일보 입력 구글 검색 선호 출처로 추가 박영우 기자 구독 중앙일보 지면보기 서비스는 로그인 후 이용 가능합니다. 로그인 하러 가기 Close 최근 1개월 내 지면만 열람하실 수 있습니다. 로그인 하시면 최신호의 전체 내용을 보실 수 있습니다. 로그인 하시겠습니까? 더중앙플러스 회원",https://joongang.co.kr/article/25446165,005930_evt_431,005930_gold_035,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,65,2026-07-19T00:43:00+00:00,2026-07-20T02:12:00+00:00,SU_7bef2e5eed,65,65,1,65,2026-07-19T00:43:00+00:00,2026-07-20T02:12:00+00:00
47:005930,47,005930,2026-07-19T12:40:00+00:00,"삼성전자, 사우디 모스크 100곳에 천장형 에어컨 1000대 공급","삼성전자 가 사우디아라비아 주요 8개도시의 이슬람 사원 '모스크' 100여 곳에 맞춤형 HVAC 솔루션 1,000여대를 공급한다. [사진: 삼성전자 ] 삼성전자 가 사우디아라비아 종교시설 특수를 발판으로 중동 B2B 냉방 사업...","이전 기사보기 다음 기사보기 삼성전자, 사우디 모스크 100곳에 천장형 에어컨 1000대 공급 바로가기 복사하기 본문 글씨 줄이기 본문 글씨 키우기 스크롤 이동 상태바 산업 중동 B2B HVAC 시장 확대 가속 사우디 8개 도시 모스크에 맞춤형 냉방 솔루션 공급 원형 카세트 에어컨·이슬람 문양 패널 현지화 적용 기자명 석대건 기자 입력 2026.07.19",https://digitaltoday.co.kr/news/articleView.html?idxno=685092,005930_evt_431,005930_gold_035,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,65,2026-07-19T00:43:00+00:00,2026-07-20T02:12:00+00:00,SU_7bef2e5eed,65,65,1,65,2026-07-19T00:43:00+00:00,2026-07-20T02:12:00+00:00
536:005930,536,005930,2026-07-19T00:56:00+00:00,"삼성, AI 반도체 경쟁력으로 브랜드 가치 974억달러…글로벌 테크 8위",브랜드 가치 9%↑…국내 기업 유일 글로벌 톱10 유지 SK하이닉스 ·쿠팡·네이버 선전…한국 브랜드 가치 세계 3위 AI 반도체가 판도 바꿨다…엔비디아·브로드컴 급부상 서울 서초구 삼성전자 서초사옥. 삼성은 영국...,"삼성, AI 반도체 경쟁력으로 브랜드 가치 974억달러…글로벌 테크 8위 브랜드 가치 9%↑…국내 기업 유일 글로벌 톱10 유지 SK하이닉스·쿠팡·네이버 선전…한국 브랜드 가치 세계 3위 AI 반도체가 판도 바꿨다…엔비디아·브로드컴 급부상 [뉴스투데이=박상미 기자] 삼성이 인공지능(AI) 반도체 경쟁력을 앞세워 글로벌 기술(테크) 브랜드 가치 8위에 올랐다",https://news2day.co.kr/article/20260719500021,005930_evt_436,005930_gold_036,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,9,2026-07-19T00:56:00+00:00,2026-07-19T09:15:00+00:00,SU_8fad401d86,38,38,2,32,2026-07-18T22:05:00+00:00,2026-07-19T10:40:00+00:00
